pdf_filename,title,year,venue,category_candidate,category_final,relevance,include,exclude_reason,web_verified,notes_file
Trajectory inference for a branching SDE model of cell differentiation.pdf,Trajectory inference for a branching SDE model of cell differentiation,2026,Journal of Mathematical Biology (2026),journal,journal,direct,yes,,yes,notes/2023__journal__arxiv__branching_sde_lineage.md
Unbalanced Diffusion Schrödinger Bridge.pdf,Unbalanced Diffusion Schrödinger Bridge,2023,arXiv preprint arXiv:2306.09099 (ICML 2023 workshop poster only),math,math,high,yes,,yes,notes/2023__math__arxiv__unbalanced_diffusion_schrodinger_bridge.md
Unbalancedness in Neural Monge Maps Improves Unpaired Domain Translation.pdf,Unbalancedness in Neural Monge Maps Improves Unpaired Domain Translation,2023,Unbalancedness in Neural Monge Maps Improves Unpaired Domain Translation.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2311.15100,,,unknown,pending,,no,
Multi-omic single-cell velocity models epigenome–transcriptome interactions and improves cell fate prediction.pdf,Multi-omic single-cell velocity models epigenome–transcriptome interactions and improves cell fate prediction,2023,Nature Biotechnology,journal,journal,direct,yes,,no,notes/2023__journal__nature_biotechnology__multivelo.md
Learning single-cell perturbation responses using neural optimal transport.pdf,Learning single-cell perturbation responses using neural optimal transport,2023,https://doi.org/10.1038/s41592-023-01969-x,,,unknown,pending,,no,
A new flow dynamic approach for Wasserstein gradient flows.pdf,A new flow dynamic approach for Wasserstein gradient flows,2025,Journal of Computational Physics 524 (2025) 113696,math,,weak,no,面向已知 Wasserstein 梯度流 PDE 的结构保持数值离散，不解决从 snapshot 数据反演动力学或 bridge/FM/mean-field 建模。,yes,
A physics-informed neural SDE network for learning cellular dynamics from time-series scRNA-seq data.pdf,A physics-informed neural SDE network for learning cellular dynamics from time-series scRNA-seq data,2024,Bioinformatics (Proceedings of ECCB 2024),journal,journal,direct,yes,,no,notes/2024__journal__bioinformatics__pi_sde.md
Action Functional as Early Warning Indicator in the Space of Probability Measures.pdf,Action Functional as Early Warning Indicator in the Space of Probability Measures,2024,Action Functional as Early Warning Indicator in the Space of Probability Measures. arXiv preprint arXiv:2403.10405.,,,unknown,pending,,no,
Advances in single-cell omics and multiomics for high-resolution molecular profiling.pdf,Advances in single-cell omics and multiomics for high-resolution molecular profiling,2024,"Advances in single-cell omics and multiomics for high-resolution molecular profiling. Experimental & Molecular Medicine, *56*(3), 515–526",,,unknown,pending,,no,
Assessing GPT-4 for cell type annotation in single-cell RNA-seq analysis.pdf,Assessing GPT-4 for cell type annotation in single-cell RNA-seq analysis,2024,Nature Methods,journal,,offtopic,no,细胞类型注释论文，不涉及轨迹/动力学/扰动建模。,no,
CellRank 2 unified fate mapping in multiview single-cell data.pdf,CellRank 2 unified fate mapping in multiview single-cell data,2024,Nature Methods,journal,journal,direct,yes,,no,notes/2024__journal__nature_methods__cellrank2.md
Contextual AI models for single-cell protein biology.pdf,Contextual AI models for single-cell protein biology,2024,Nature Methods,journal,,offtopic,no,蛋白功能与互作建模，不是单细胞轨迹/命运问题。,no,
Convergence Analysis of Flow Matching in Latent Space with Transformers.pdf,Convergence Analysis of Flow Matching in Latent Space with Transformers,2024,Convergence Analysis of Flow Matching in Latent Space with Transformers. arXiv preprint arXiv:2404.02538.,,,unknown,pending,,no,
Convergence of Continuous Normalizing Flows for Learning Probability Distributions.pdf,Convergence of Continuous Normalizing Flows for Learning Probability Distributions,2024,Convergence of Continuous Normalizing Flows for Learning Probability Distributions. arXiv preprint arXiv:2404.00551.,,,unknown,pending,,no,
Correlational Lagrangian Schr{ o}dinger odinger Bridge Learning Dynamics with Population-Level Regularization.pdf,Correlational Lagrangian Schr{ o}dinger odinger Bridge Learning Dynamics with Population-Level Regularization,2024,"Correlational Lagrangian Schr{\""o}dinger odinger Bridge: Learning Dynamics with Population-Level Regularization. arXiv preprint arXiv:2402.10227.",,,unknown,pending,,no,
DeepVelo deep learning extends RNA velocity to multi-lineage systems with cell-specific kinetics.pdf,DeepVelo deep learning extends RNA velocity to multi-lineage systems with cell-specific kinetics,2024,Genome Biology,journal,journal,direct,yes,,no,notes/2024__journal__genome_biology__deepvelo.md
Efficient trajectory inference in wasserstein space using consecutive averaging.pdf,Efficient trajectory inference in wasserstein space using consecutive averaging,2024,arXiv preprint arXiv:2405.19679,math,math,direct,yes,,yes,notes/2024__math__arxiv__efficient-trajectory-inference-consecutive-averaging.md
Enhancing geometric representations for molecules with equivariant vector-scalar interactive message passing.pdf,Enhancing geometric representations for molecules with equivariant vector-scalar interactive message passing,2024,Nature Communications,journal,,offtopic,no,分子几何表示学习，与单细胞轨迹无关。,no,
Flow Matching on General Geometries.pdf,Flow Matching on General Geometries,2024,ICLR 2024,mlconf,mlconf,direct,yes,,no,notes/2024__mlconf__iclr__flow_matching_on_general_geometries.md
Generator Matching Generative modeling with arbitrary Markov processes.pdf,Generator Matching Generative modeling with arbitrary Markov processes,2024,Generator Matching: Generative modeling with arbitrary Markov processes.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2410.20587,,,unknown,pending,,no,
Governing equation discovery of a complex system from snapshots.pdf,Governing equation discovery of a complex system from snapshots,2024,Governing equation discovery of a complex system from snapshots. arXiv preprint arXiv:2410.16694.,,,unknown,pending,,no,
HJ-sampler A Bayesian sampler for inverse problems of a stochastic process by leveraging Hamilton-Jacobi PDEs and score-based generative models.pdf,HJ-sampler A Bayesian sampler for inverse problems of a stochastic process by leveraging Hamilton-Jacobi PDEs and score-based generative models,2024,arXiv preprint arXiv:2409.09614,math,,off_route,no,聚焦终端观测下的 SDE 逆问题 Bayesian 采样，不处理分布间动态匹配或单细胞 snapshot 轨迹推断。,yes,
Improving and generalizing flow-based generative models with minibatch optimal transport.pdf,Improving and generalizing flow-based generative models with minibatch optimal transport,2024,"Transactions on Machine Learning Research (TMLR), 2024",math,math,direct,yes,,no,notes/2024__math__tmlr__minibatch-ot-cfm.md
Inferring biological processes with intrinsic noise from cross-sectional data.pdf,Inferring biological processes with intrinsic noise from cross-sectional data,2024,Inferring biological processes with intrinsic noise from cross-sectional data. arXiv preprint arXiv:2410.07501.,,,unknown,pending,,no,
Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.pdf,Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics,2024,Nature Methods,journal,,indirect,no,聚焦细胞通讯因果流，而非细胞状态轨迹或 OT/FM/SB 动力学建模。,no,
Joint trajectory and network inference via reference fitting.pdf,Joint trajectory and network inference via reference fitting,2024,Joint trajectory and network inference via reference fitting. arXiv preprint arXiv:2409.06879.,,,unknown,pending,,no,
Latent Schrödinger Bridge Diffusion Model for Generative Learning.pdf,Latent Schrödinger Bridge Diffusion Model for Generative Learning,2024,arXiv preprint arXiv:2404.13309,math,math,supporting,yes,,yes,notes/2024__math__arxiv__latent-schrodinger-bridge-diffusion.md
Lévy Score Function and Score-Based Particle Algorithm for Nonlinear Lévy--Fokker--Planck Equations.pdf,Lévy Score Function and Score-Based Particle Algorithm for Nonlinear Lévy--Fokker--Planck Equations,2024,Lévy Score Function and Score-Based Particle Algorithm for Nonlinear Lévy--Fokker--Planck Equations. arXiv preprint arXiv:2412.19520.,,,unknown,pending,,no,
Meta Flow Matching Integrating Vector Fields on the Wasserstein Manifold.pdf,Meta Flow Matching Integrating Vector Fields on the Wasserstein Manifold,2025,ICLR 2025,math,math,direct,yes,,no,notes/2025__math__iclr__meta-flow-matching.md
Metric Flow Matching for Smooth Interpolations on the Data Manifold.pdf,Metric Flow Matching for Smooth Interpolations on the Data Manifold,2024,NeurIPS 2024,mlconf,mlconf,direct,yes,,no,notes/2024__mlconf__neurips__metric_flow_matching_for_smooth_interpolations_on_the_data_manifold.md
Modeling single cell trajectory using forward-backward stochastic differential equations.pdf,Modeling single cell trajectory using forward-backward stochastic differential equations,2024,PLOS Computational Biology,journal,journal,direct,yes,,no,notes/2024__journal__plos_computational_biology__fbsde.md
Multi-Modal and Multi-Attribute Generation of Single Cells with CFGen.pdf,Multi-Modal and Multi-Attribute Generation of Single Cells with CFGen,2024,arXiv preprint,journal,,indirect,no,通用单细胞生成模型，重点不是轨迹/动力学或扰动响应推断。,no,
Multi-omics with dynamic network biomarker algorithm prefigures organ-specific metastasis of lung adenocarcinoma.pdf,Multi-omics with dynamic network biomarker algorithm prefigures organ-specific metastasis of lung adenocarcinoma,2024,Nature Communications,journal,,indirect,no,偏肿瘤转移预警应用，不是通用单细胞轨迹/动力学方法。,no,
Neural McKean-Vlasov Processes Distributional Dependence in Diffusion Processes.pdf,Neural McKean-Vlasov Processes Distributional Dependence in Diffusion Processes,2024,AISTATS 2024,math,math,direct,yes,,no,notes/2024__math__aistats__neural-mckean-vlasov-processes.md
Neural Optimal Transport with Lagrangian Costs.pdf,Neural Optimal Transport with Lagrangian Costs,2024,arXiv preprint arXiv:2406.00288,math,math,supporting,yes,,yes,notes/2024__math__arxiv__neural-optimal-transport-lagrangian-costs.md
Parameterized Wasserstein Gradient Flow.pdf,Parameterized Wasserstein Gradient Flow,2025,Journal of Computational Physics 523 (2025) 113660,math,,weak,no,通过参数化 push-forward 近似已知 Wasserstein 梯度流，偏前向 PDE 求解，缺少从 snapshot 学习动力学的可复用机制。,yes,
Partially Observed Trajectory Inference using Optimal Transport and a Dynamics Prior.pdf,Partially Observed Trajectory Inference using Optimal Transport and a Dynamics Prior,2025,ICLR 2025,math,math,direct,yes,,no,notes/2025__math__iclr__partially-observed-trajectory-inference-ot-dynamics-prior.md
Plug-in estimation of Schrödinger bridges.pdf,Plug-in estimation of Schrödinger bridges,2025,SIAM Journal on Mathematics of Data Science (2025),math,math,direct,yes,,yes,notes/2024__math__arxiv__sinkhorn-bridge-plugin-estimation.md
"Quantifying energy landscape of oscillatory systems Explosion, pre-solution, and diffusion decomposition.pdf","Quantifying energy landscape of oscillatory systems Explosion, pre-solution, and diffusion decomposition",2024,"Quantifying energy landscape of oscillatory systems: Explosion, pre-solution, and diffusion decomposition. arXiv preprint arXiv:2401.06959.",,,unknown,pending,,no,
Quantitative Propagation of Chaos for 2D Viscous Vortex Model with General Circulations on the Whole Space.pdf,Quantitative Propagation of Chaos for 2D Viscous Vortex Model with General Circulations on the Whole Space,2024,Quantitative Propagation of Chaos for 2D Viscous Vortex Model with General Circulations on the Whole Space. arXiv preprint arXiv:2411.14266.,,,unknown,pending,,no,
Reconstructing growth and dynamic trajectories from single-cell transcriptomics data.pdf,Reconstructing growth and dynamic trajectories from single-cell transcriptomics data,2024,Nature Machine Intelligence,journal,journal,direct,yes,,no,notes/2024__journal__nature_machine_intelligence__tigon.md
Resolving cellular dynamics using single-cell temporal.pdf,Resolving cellular dynamics using single-cell temporal,2024,Current Opinion in Systems Biology,journal,,indirect,no,综述论文，不是原始方法或原始研究。,no,
SSA a novel method for Single-cell and Spatial transcriptomics Alignment.pdf,SSA a novel method for Single-cell and Spatial transcriptomics Alignment,2024,"SSA: A novel method for single-cell and spatial transcriptomics alignment. In H. Al-Mubaid, T. Aldwairi, & O. Eulenstein (Eds.), *Proceedings of the 16th International Conference on Bioinformatics and Computational Biology (BICOB-2024)* (Vol. 101, pp. 25–38). EasyChair",,,unknown,pending,,no,
Schrödinger Bridge with Quadratic State Cost is Exactly Solvable.pdf,Schrödinger Bridge with Quadratic State Cost is Exactly Solvable,2025,IEEE Transactions on Automatic Control (2025),math,math,direct,yes,,yes,notes/2024__math__arxiv__schrodinger-bridge-quadratic-state-cost.md
Score-based Neural Ordinary Differential Equations for Computing Mean Field Control Problems.pdf,Score-based Neural Ordinary Differential Equations for Computing Mean Field Control Problems,2025,Journal of Computational Physics (2025),math,math,supporting,yes,,yes,notes/2024__math__arxiv__score-neural-odes-mean-field-control.md
Spatial transition tensor of single cells.pdf,Spatial transition tensor of single cells,2024,Nature Methods,journal,journal,direct,yes,,no,notes/2024__journal__nature_methods__stt.md
TFvelo gene regulation inspired RNA velocity estimation.pdf,TFvelo gene regulation inspired RNA velocity estimation,2024,Nature Communications,journal,journal,direct,yes,,no,notes/2024__journal__nature_communications__tfvelo.md
Wasserstein Flow Matching Generative modeling over families of distributions.pdf,Wasserstein Flow Matching Generative modeling over families of distributions,2025,ICML 2025,math,math,direct,yes,,no,notes/2025__math__icml__wasserstein-flow-matching.md
PhyloVelo enhances transcriptomic velocity field mapping using monotonically expressed genes.pdf,PhyloVelo enhances transcriptomic velocity field mapping using monotonically expressed genes,2024,https://doi.org/10.1038/s41587-023-01887-5,,,unknown,pending,,no,
Mapping lineage-traced cells across time points with moslin.pdf,Mapping lineage-traced cells across time points with moslin,2024,Genome Biology,journal,journal,direct,yes,,no,notes/2024__journal__genome_biology__moslin.md
scEGOT single-cell trajectory inference framework based on entropic Gaussian mixture optimal transport.pdf,scEGOT single-cell trajectory inference framework based on entropic Gaussian mixture optimal transport,2024,"scEGOT: single-cell trajectory inference framework based on entropic Gaussian mixture optimal transport.. BMC Bioinformatics, 25(1), 388–388 https://doi.org/10.1186/s12859-024-05988-z",,,unknown,pending,,no,
stVCR Reconstructing spatio-temporal dynamics of cell development using optimal transport.pdf,stVCR Reconstructing spatio-temporal dynamics of cell development using optimal transport,2024,bioRxiv preprint doi:10.1101/2024.06.02.596937,journal|math,math,direct,yes,,yes,notes/2024__math__biorxiv__stvcr.md
A computational pipeline for spatial mechano-transcriptomics.pdf,A computational pipeline for spatial mechano-transcriptomics,2025,Nature Methods,journal,,indirect,no,空间力学-转录组联合分析 pipeline，不是轨迹/动力学推断主方法。,no,
A semi-supervised Bayesian approach for marker gene trajectory inference from single-cell RNA-seq data.pdf,A semi-supervised Bayesian approach for marker gene trajectory inference from single-cell RNA-seq data,2025,"A semi-supervised Bayesian approach for marker gene trajectory inference from single-cell RNA-seq data. Bioinformatics, *41*(9), Article btaf454",,,unknown,pending,,no,
"ARTEMIS integrates autoencoders and Schrödinger Bridges to predict continuous dynamics of gene expression, cell population, and perturbation from time-series single-cell data.pdf","ARTEMIS integrates autoencoders and Schrödinger Bridges to predict continuous dynamics of gene expression, cell population, and perturbation from time-series single-cell data",2025,Bioinformatics (ISMB/ECCB 2025 Supplement),journal,journal,direct,yes,,no,notes/2025__journal__bioinformatics__artemis.md
Branched Schr{ o}dinger Bridge Matching.pdf,Branched Schr{ o}dinger Bridge Matching,2025,"Branched Schr{\""o}dinger Bridge Matching. arXiv preprint arXiv:2506.09007.",,,unknown,pending,,no,
CFM-GP Unified Conditional Flow Matching to Learn Gene Perturbation Across Cell Types.pdf,CFM-GP Unified Conditional Flow Matching to Learn Gene Perturbation Across Cell Types,2025,arXiv preprint arXiv:2508.08312,journal,journal,direct,yes,,yes,notes/2025__journal__arxiv__cfm_gp.md
CT-OT Flow Estimating Continuous-Time Dynamics from Discrete Temporal Snapshots.pdf,CT-OT Flow Estimating Continuous-Time Dynamics from Discrete Temporal Snapshots,2025,CT-OT Flow: Estimating Continuous-Time Dynamics from Discrete Temporal Snapshots. arXiv preprint arXiv:2505.17354.,,,unknown,pending,,no,
CellFlow enables generative single-cell phenotype modeling with flow matching.pdf,CellFlow enables generative single-cell phenotype modeling with flow matching,2025,bioRxiv preprint doi:10.1101/2025.04.11.648220,journal,journal,direct,yes,,yes,notes/2025__journal__biorxiv__cellflow.md
CellStream Dynamical Optimal Transport Informed Embeddings for Reconstructing Cellular Trajectories from Snapshots Data.pdf,CellStream Dynamical Optimal Transport Informed Embeddings for Reconstructing Cellular Trajectories from Snapshots Data,2026,AAAI 2026,journal|math,math,direct,yes,,yes,notes/2026__math__aaai__cellstream.md
Curly Flow Matching for Learning Non-gradient Field Dynamics.pdf,Curly Flow Matching for Learning Non-gradient Field Dynamics,2025,Curly flow matching for learning non-gradient field dynamics. arXiv,,,unknown,pending,,no,
Deciphering cell-fate trajectories using spatiotemporal single-cell transcriptomic data.pdf,Deciphering cell-fate trajectories using spatiotemporal single-cell transcriptomic data,2025,NPJ Systems Biology and Applications,journal,,indirect,no,综述论文，提供背景梳理但不是原始方法。,no,
"Dynamic modeling, optimization, and deep learning for high-dimensional complex biological data.pdf","Dynamic modeling, optimization, and deep learning for high-dimensional complex biological data",2025,"Dynamic modeling, optimization, and deep learning for high-dimensional complex biological data.. Scientia Sinica Mathematica, 55(7), 1413–1413 https://doi.org/10.1360/ssm-2024-0308",,,unknown,pending,,no,
Enforcing Latent Euclidean Geometry in Single-Cell VAEs for Manifold Interpolation.pdf,Enforcing Latent Euclidean Geometry in Single-Cell VAEs for Manifold Interpolation,2025,Enforcing latent Euclidean geometry in single-cell VAEs for manifold interpolation [Preprint]. arXiv,,,unknown,pending,,no,
Equilibrium flow From Snapshots to Dynamics.pdf,Equilibrium flow From Snapshots to Dynamics,2025,Equilibrium flow: From Snapshots to Dynamics. arXiv preprint arXiv:2509.17990.,,,unknown,pending,,no,
Flow Matching Meets Biology and Life Science A Survey.pdf,Flow Matching Meets Biology and Life Science A Survey,2025,arXiv preprint,journal,,indirect,no,综述论文，不是原始算法或单细胞轨迹研究。,no,
Gene trajectory inference for single-cell data by optimal transport metrics.pdf,Gene trajectory inference for single-cell data by optimal transport metrics,2025,Nature Biotechnology,journal,journal,direct,yes,,no,notes/2025__journal__nature_biotechnology__genetrajectory.md
Grow AI virtual cells three data pillars and closed-loop learning.pdf,Grow AI virtual cells three data pillars and closed-loop learning,2025,Cell Research,journal,,indirect,no,评论/展望文章，不是原始单细胞动力学方法。,no,
Joint Velocity-Growth Flow Matching for Single-Cell Dynamics Modeling.pdf,Joint Velocity-Growth Flow Matching for Single-Cell Dynamics Modeling,2025,Joint velocity-growth flow matching for single-cell dynamics modeling [Preprint]. arXiv,,,unknown,pending,,no,
Kinetic Optimal Transport (OTIKIN) -- Part 1 Second-Order Discrepancies Between Probability Measures.pdf,Kinetic Optimal Transport (OTIKIN) -- Part 1 Second-Order Discrepancies Between Probability Measures,2025,arXiv preprint arXiv:2502.15665,math,math,supporting,yes,,yes,notes/2025__math__arxiv__otikin-second-order-discrepancy.md
Learning Explicit Single-Cell Dynamics Using ODE Representations.pdf,Learning Explicit Single-Cell Dynamics Using ODE Representations,2025,Learning Explicit Single-Cell Dynamics Using ODE Representations. arXiv preprint arXiv:2510.02903.,,,unknown,pending,,no,
Learning cell dynamics with neural differential equations.pdf,Learning cell dynamics with neural differential equations,2025,Nature Machine Intelligence,journal,journal,direct,yes,,no,notes/2025__journal__nature_machine_intelligence__scdiffeq.md
Learning collective multi-cellular dynamics from temporal scRNA-seq via a transformer-enhanced Neural SDE.pdf,Learning collective multi-cellular dynamics from temporal scRNA-seq via a transformer-enhanced Neural SDE,2025,Learning collective multi-cellular dynamics from temporal scRNA-seq via a transformer-enhanced Neural SDE. arXiv preprint arXiv:2505.16492.,,,unknown,pending,,no,
Learning stochastic dynamics from snapshots through regularized unbalanced optimal transport.pdf,Learning stochastic dynamics from snapshots through regularized unbalanced optimal transport,2025,ICLR 2025,mlconf|math,mlconf,direct,yes,,no,notes/2025__mlconf__iclr__learning_stochastic_dynamics_from_snapshots_through_regularized_unbalanced_optimal_transport.md
Mapping cells through time and space with moscot.pdf,Mapping cells through time and space with moscot,2025,Nature,journal,journal,direct,yes,,no,notes/2025__journal__nature__moscot.md
Modeling Cell Dynamics and Interactions with Unbalanced Mean Field Schrödinger Bridge.pdf,Modeling Cell Dynamics and Interactions with Unbalanced Mean Field Schrödinger Bridge,2025,arXiv preprint arXiv:2505.11197,journal|math,math,direct,yes,,yes,notes/2025__math__arxiv__unbalanced-mean-field-schrodinger-bridge.md
Modeling Complex System Dynamics with Flow Matching Across Time and Conditions.pdf,Modeling Complex System Dynamics with Flow Matching Across Time and Conditions,2025,ICLR 2025,mlconf,mlconf,direct,yes,,no,notes/2025__mlconf__iclr__modeling_complex_system_dynamics_with_flow_matching_across_time_and_conditions.md
MultistageOT Multistage optimal transport infers trajectories from a snapshot of single-cell data.pdf,MultistageOT Multistage optimal transport infers trajectories from a snapshot of single-cell data,2025,Proceedings of the National Academy of Sciences of the United States of America,journal,journal,direct,yes,,no,notes/2025__journal__pnas__multistageot.md
RNA velocity and beyond Current advances in modeling single-cell transcriptional dynamics.pdf,RNA velocity and beyond Current advances in modeling single-cell transcriptional dynamics,2025,"RNA velocity and beyond: Current advances in modeling single-cell transcriptional dynamics. Allergology International, *74*(4), 525–533",,,unknown,pending,,no,
Simulating Fokker-Planck equations via mean field control of score-based normalizing flows.pdf,Simulating Fokker-Planck equations via mean field control of score-based normalizing flows,2025,arXiv preprint arXiv:2506.05723,math,math,supporting,yes,,yes,notes/2025__math__arxiv__fokker-planck-mean-field-control-score-flows.md
Solving McKean-Vlasov Equation by deep learning particle method.pdf,Solving McKean-Vlasov Equation by deep learning particle method,2025,arXiv preprint arXiv:2501.00780,math,,off_route,no,PINN 求解已知 McKean-Vlasov 方程的前向数值问题，缺少 OT/SB/FM 连接，也不解决从 snapshot 学习交互动力学。,yes,
Steering Large Agent Populations using Mean-Field Schrodinger Bridges with Gaussian Mixture Models.pdf,Steering Large Agent Populations using Mean-Field Schrodinger Bridges with Gaussian Mixture Models,2025,IEEE Control Systems Letters (2025),math,math,supporting,yes,,yes,notes/2025__math__arxiv__mean-field-schrodinger-bridges-gaussian-mixtures.md
Structured Matching via Cost-Regularized Unbalanced Optimal Transport.pdf,Structured Matching via Cost-Regularized Unbalanced Optimal Transport,2026,arXiv preprint arXiv:2511.19075,math,,weak,no,更偏静态异构匹配与 ground-cost 学习，对连续时间 trajectory/bridge/mean-field 动力学建模支持偏弱。,yes,
Supervised pre-training for feature extraction in cell type annotation of single-cell multi-omics data.pdf,Supervised pre-training for feature extraction in cell type annotation of single-cell multi-omics data,2025,Applied Soft Computing,journal,,offtopic,no,细胞类型注释方法，不涉及轨迹/动力学。,no,
Synchronized Optimal Transport for Joint Modeling of Dynamics Across Multiple Spaces.pdf,Synchronized Optimal Transport for Joint Modeling of Dynamics Across Multiple Spaces,2025,"SIAM Journal on Applied Mathematics, 85(1):341-365, 2025",math,math,direct,yes,,no,notes/2025__math__siamjam__synchronized-optimal-transport.md
Topological Schrödinger Bridge Matching.pdf,Topological Schrödinger Bridge Matching,2025,ICLR 2025,math,,weak,no,面向图/单纯复形上的拓扑信号生成与匹配，参考过程较专用，对当前连续潜空间单细胞动力学路线支持有限。,no,
TrajLens Visual Analysis for Constructing Cell Developmental Trajectories in Cross-Sample Exploration.pdf,TrajLens Visual Analysis for Constructing Cell Developmental Trajectories in Cross-Sample Exploration,2025,IEEE Transactions on Visualization and Computer Graphics,journal,,indirect,no,可视分析系统，核心是交互式探索而非主轨迹算法。,no,
VIP-OT Dissecting Single-Cell Biochemical State Dynamics under Perturbation via Vibrational Painting and Optimal Transport.pdf,VIP-OT Dissecting Single-Cell Biochemical State Dynamics under Perturbation via Vibrational Painting and Optimal Transport,2025,VIP-OT: Dissecting single-cell biochemical state dynamics under perturbation via vibrational painting and optimal transport. bioRxiv,,,unknown,pending,,no,
"Variational Regularized Unbalanced Optimal Transport Single Network, Least Action.pdf","Variational Regularized Unbalanced Optimal Transport Single Network, Least Action",2025,arXiv preprint arXiv:2505.11823,math,math,direct,yes,,yes,notes/2025__math__arxiv__variational-ruot.md
Zeroth-order Informed Fine-Tuning for Diffusion Model A Recursive Likelihood Ratio Optimizer.pdf,Zeroth-order Informed Fine-Tuning for Diffusion Model A Recursive Likelihood Ratio Optimizer,2025,Zeroth-order Informed Fine-Tuning for Diffusion Model: A Recursive Likelihood Ratio Optimizer. arXiv preprint arXiv:2502.00639.,,,unknown,pending,,no,
Spatial integration of multi-omics single-cell data with SIMO.pdf,Spatial integration of multi-omics single-cell data with SIMO,2025,https://doi.org/10.1038/s41467-025-56523-4,,,unknown,pending,,no,
scMODAL a general deep learning framework for comprehensive single-cell multi-omics data alignment with feature links.pdf,scMODAL a general deep learning framework for comprehensive single-cell multi-omics data alignment with feature links,2025,https://doi.org/10.1038/s41467-025-60333-z,,,unknown,pending,,no,
Causal disentanglement for single-cell representations and controllable counterfactual generation.pdf,Causal disentanglement for single-cell representations and controllable counterfactual generation,2025,https://doi.org/10.1038/s41467-025-62008-1,,,unknown,pending,,no,
"Inferring differential dynamics from multi-lineage, multi-omic, and multi-sample single-cell data with MultiVeloVAE.pdf","Inferring differential dynamics from multi-lineage, multi-omic, and multi-sample single-cell data with MultiVeloVAE",2025,https://doi.org/10.1038/s41467-025-66287-6,,,unknown,pending,,no,
Causal machine learning for single-cell genomics.pdf,Causal machine learning for single-cell genomics,2025,https://doi.org/10.1038/s41588-025-02124-2,,,unknown,pending,,no,
"Transformative advances in single-cell omics a comprehensive review of foundation models, multimodal integration and computational ecosystems.pdf","Transformative advances in single-cell omics a comprehensive review of foundation models, multimodal integration and computational ecosystems",2025,https://doi.org/10.1186/s12967-025-07091-0,,,unknown,pending,,no,
Sceptic pseudotime analysis for time-series single-cell sequencing and imaging data.pdf,Sceptic pseudotime analysis for time-series single-cell sequencing and imaging data,2025,https://doi.org/10.1186/s13059-025-03679-3,,,unknown,pending,,no,
spVelo RNA velocity inference for multi-batch spatial transcriptomics data.pdf,spVelo RNA velocity inference for multi-batch spatial transcriptomics data,2025,https://doi.org/10.1186/s13059-025-03701-8,,,unknown,pending,,no,
scCausalVI disentangles single-cell perturbation responses with causality-aware generative model.pdf,scCausalVI disentangles single-cell perturbation responses with causality-aware generative model,2025,Cell Systems,journal,journal,direct,yes,,no,notes/2025__journal__cell_systems__sccausalvi.md
scMRDR A scalable and flexible framework for unpaired single-cell multi-omics data integration.pdf,scMRDR A scalable and flexible framework for unpaired single-cell multi-omics data integration,2025,scMRDR: A scalable and flexible framework for unpaired single-cell multi-omics data integration. arXiv,,,unknown,pending,,no,
ContextFlow Context-Aware Flow Matching for Trajectory Inference from Spatial Omics Data.pdf,ContextFlow Context-Aware Flow Matching for Trajectory Inference from Spatial Omics Data,2026,arXiv preprint arXiv:2510.02952,mlconf,,direct,no,"本地 PDF 仅显示 arXiv 预印本与“Preprint. February 2, 2026.”，未见正式 ICLR/NeurIPS/ICML 录用证据；按批次规则暂不纳入。",yes,
Efficient Imputation for Patch-based Missing Single-cell Data via Cluster-regularized Optimal Transport.pdf,Efficient Imputation for Patch-based Missing Single-cell Data via Cluster-regularized Optimal Transport,2026,Efficient imputation for patch-based missing single-cell data via cluster-regularized optimal transport. arXiv,,,unknown,pending,,no,
Mapping biology in space from spatial transcriptomics platforms to analytical tools and databases.pdf,Mapping biology in space from spatial transcriptomics platforms to analytical tools and databases,2026,Science Bulletin,journal,,indirect,no,空间转录组综述，不是原始轨迹/动力学方法。,no,
Microenvironment-aware transcriptome reconstruction in spatial transcriptomics.pdf,Microenvironment-aware transcriptome reconstruction in spatial transcriptomics,2026,Microenvironment-aware transcriptome reconstruction in spatial transcriptomics [Preprint]. Research Square,,,unknown,pending,,no,
POTTR Identifying Recurrent Trajectories in Evolutionary and Developmental Processes using Posets.pdf,POTTR Identifying Recurrent Trajectories in Evolutionary and Developmental Processes using Posets,2026,POTTR: Identifying recurrent trajectories in evolutionary and developmental processes using posets. bioRxiv,,,unknown,pending,,no,
STRAND Sequence-Conditioned Transport for Single-Cell Perturbations.pdf,STRAND Sequence-Conditioned Transport for Single-Cell Perturbations,2026,STRAND: Sequence-conditioned transport for single-cell perturbations. [Conference presentation],,,unknown,pending,,no,
TwinCell Large Causal Cell Model for Reliable and Interpretable Therapeutic Target Prioritisation.pdf,TwinCell Large Causal Cell Model for Reliable and Interpretable Therapeutic Target Prioritisation,2026,bioRxiv preprint,journal,,indirect,no,面向治疗靶点优先级的因果大模型，不直接建模单细胞轨迹或连续动力学。,no,
WFR-FM Simulation-Free Dynamic Unbalanced Optimal Transport.pdf,WFR-FM Simulation-Free Dynamic Unbalanced Optimal Transport,2026,arXiv preprint arXiv:2601.06810,math,math,direct,yes,,yes,notes/2026__math__arxiv__wfr-flow-matching.md
